#Query ID	Target ID
motif_Train8_2	motif_Train6_7
motif_Train8_2	motif_Train3_14
motif_Train8_5	motif_Train8_5
motif_Train8_5	motif_Train1_9
motif_Train8_5	motif_Train5_9
motif_Train8_5	motif_Train9_13
motif_Train8_5	motif_Train2_9
motif_Train8_5	motif_Train3_8
motif_Train8_5	motif_Train4_6
motif_Train8_5	motif_Train4_14
motif_Train8_5	motif_Train9_11
motif_Train8_5	motif_Train9_3
motif_Train8_5	motif_Train6_9
motif_Train8_5	motif_Train7_3
motif_Train8_5	motif_Train2_12
motif_Train8_5	motif_Train5_3
motif_Train8_5	motif_10_10
motif_Train8_4	motif_Train8_4
motif_Train8_4	motif_Train9_5
motif_Train8_4	motif_Train3_4
motif_Train8_4	motif_Train7_4
motif_Train8_4	motif_Train5_4
motif_Train8_4	motif_Train2_5
motif_Train8_4	motif_Train1_4
motif_Train8_4	motif_Train4_5
motif_Train8_4	motif_10_5
motif_Train8_4	motif_Train6_4
motif_Train8_4	motif_Train9_12
motif_Train8_4	motif_Train6_12
motif_Train8_4	motif_Train3_5
motif_Train8_4	motif_Train5_10
motif_Train8_4	motif_Train2_10
motif_Train8_4	motif_Train9_10
motif_Train8_4	motif_10_11
motif_Train8_4	motif_10_15
motif_Train8_4	motif_Train4_11
motif_Train8_4	motif_Train1_11
motif_Train8_4	motif_Train3_11
motif_Train8_4	motif_Train8_10
motif_Train8_7	motif_Train8_7
motif_Train8_7	motif_10_8
motif_Train8_7	motif_Train5_8
motif_Train8_7	motif_Train4_7
motif_Train8_7	motif_Train2_6
motif_Train8_7	motif_Train3_6
motif_Train8_7	motif_Train6_7
motif_Train8_7	motif_Train9_8
motif_Train8_7	motif_Train7_5
motif_Train8_7	motif_Train1_6
motif_Train8_7	motif_Train9_11
motif_Train8_7	motif_10_12
motif_Train8_7	motif_Train7_7
motif_Train8_7	motif_Train1_8
motif_Train8_7	motif_Train4_10
motif_Train8_7	motif_Train6_9
motif_Train8_6	motif_Train8_6
motif_Train8_6	motif_Train2_7
motif_Train8_6	motif_Train5_5
motif_Train8_6	motif_Train4_13
motif_Train8_6	motif_Train3_7
motif_Train8_6	motif_Train7_8
motif_Train8_6	motif_Train6_6
motif_Train8_6	motif_10_7
motif_Train8_6	motif_Train4_8
motif_Train8_6	motif_Train9_6
motif_Train8_6	motif_Train1_5
motif_Train8_6	motif_10_6
motif_Train1_8	motif_Train1_8
motif_Train1_8	motif_Train8_8
motif_Train1_8	motif_Train4_12
motif_Train1_8	motif_Train2_8
motif_Train1_8	motif_Train3_13
motif_Train1_8	motif_Train7_11
